time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
1653	1711	KMT reads poem "Logarithms" But there are no fractions. Life is an integer that's what John Ashbery said. 	Poem	
1714	1725	KMT: Thanks. I don't know who's next. I think Mauricio, maybe? Bradley? You're on mute. 	Transcription	
1727	1736	Back to BK in speaker view leaning on desk. BK: The next reader is Zan de Parry. The image cuts back to Kevin briefly. BK: Is Zan here?	Image and transcription	
1738	1747	Zan de Perry is outside at twilight. He is using Zoom on a phone clearly. He is wearing a hat and has airpods in. The shot is from below and behind him are the silhouttes of trees, a powerline, and a sloping roof. ZDP: Yo! BK: Heyyyyy ZDP: Hey smiles. Cut back to BK: Hey. Cut back to ZDP in speaker view who is walking around and the camera moves and we see different aspects, more of the roof etc, of his background. 	Image and transcription	
1747	1835	ZDP recites while walking through trees at twilight, behind him there is a house briefly which he sits on the porch of. The poem begins, And the fairytale. the orange cat. we raised Jesus but not like pisces. (Sounds of ducks quacking and bugs chirping throughout recitation)	Poem, environment, image	walking
1836	1863	ZDP recites another poem, Jessup, Pennsyvalia tinsletown? Is Decoula Georgia tinsletown? 	Poem	
1867	1895	ZDP recites another poem: It is night. The smell of grass, mouth full of rain. 	Poem	
1901	1911	ZDP: Our next poet is Adrienne from Berlin. Our next poet is Adrienne Herr from Berlin. Much love thank you. 	Transcription	place
1912	1936	AH: Hi.. Um. (Image cuts back ZD and AH in speaker view sitting on a bed against a white wall. Behind AH is a black and white photograph and small map on a wall) I've never done a reading on Zoom before but it's pretty cool to be virtually with you and I'm going to read three poems, um	Image and transcription	platform
1936	1964	AH reads: When We do Art We Basically Show to the Others What They Want to See. ZD pets a white cat slightly below the frame of the screen, ear visible.	Poem and image	
1967	2023	AH reads: There is This New Kind of Relating Since the Woodlice Ate All of the Metal Fences	Poem	
2025	2178	AH looks down and turns pages. This one's called, Cancer the Dog. 	Poem	
2180	2188	AH: Yeah, and the next reader is Ivana. Smiling slightly looking at the camera. IB: Thanks Adrienne.	Transcription	
2190		IB is a woman in a pink shirt with bangs and medium length hair. Behind her there is ivy some decorative ivy hanging from bright windows and a framed print of lavendar. The shot is a fairly close and straight on. 	Image	
2191	2196	IB: I'm gonna read three poems. Only in this Room. (begins reading poem)	Transcription 	
2198	2275	IB reads Only in this Room 	Poem	
2279	2338	IB says poem title, Hey Empath, and reads it.	Poem	
2339	2378	IB this is my last poem, Intercom. IB reads poem.	Poem	
2379	2399	IB: Thank you. Oddly long silence with IB on screen. Lots of very fast cuts between speakers. BM, PG, and then back to BK. BK: Thank you.	Image and transcription	
2401	2412	BK (slightly out of the frame): Ummmm....that was really really nice. I just don't even know what the rigth word is. That was really really cool. Thank you poets for doing that. for tonight. 	Image and transcription	
2413	2429	BK: In case you just tuned in and you want to know how to contribute to this night. I will show you. Brief view of PG and BM in speaker view	Image and transcription	
2430	2447	Back to BK in Speaker View. Um. BK begins sharescreen of PayPal and Venmo information and Cuneiform Press's domain name. BK: Can y'all hear me? I'm just posting this again. Many. There's a lot of people showing up as we go. So here's how you donate. Y'all can see right? Audience visible in gallery view side bar: Yes.	Image and transcription	donate, platform, Cuneiform
2452	2469	BK: There it is! Screen shot it! Copy and paste. I don't know what you can do with it. We are. We are trying to buy. We have raised. We have exceeded our goal. But you can still give more if you would like to. 	Transcription	
2470	2493	BK: Ummm, and i'll say once again that anything that you purchase on the website listed on the page there. Cuneiformpress.com will go to the Bernadette Mayer fund this evening. (End screen share) So I'm gonna stop the share. 	Transcription	
2494	2516	BK: And I'm gonna say um, without any further ado, if you wanna call it, Ill turn it over to Bernadette Mayer and Philip Good who will take us to the end of the evening. 	Transcription	
2499	2535	PG in speaker view with slight audio distortion at first: Thank you Bradley. Thank you all. Thank you Generocity. The generosity of everyone this is great. I'm going to begin with Poets in a Box (PG holds up his book Poets in a Box which is a black book with big cartoon eyes on the cover. It is held VERY close to the camera) from the Introduction. 	Image and transcription	
2537	2694	PG reads from Introduction to Poets in a Box with slight lag and distortion	Poem	Koch, Padgett, Guest, Ashbery
2698	2760	PG reads Should We Panic? (Sound of Venmo transaction on phone in background)	Poem and sound	Williams, computing
2762	2810	PG reads Stop the Masquerade 	Poem	masks, Zoom, science
2819	2837	PG: Ok, I'll now read, uh, two collaborations with Ms. Mayer before she reads solo. BM: OH. This is Hey Fielders of  the New Normal 	Transcription	
2838	2958	PG and BM read Hey Fielders of the New Normal, a poem alternating stanzas by poet. PG begins in Private you can be maskless but as the old song goes you can leave your hat on. BM: I'm being maskless so we can kiss and I'll take my chastity belt off, ok. 	Poem	masks, pandemic, dreams
2958	2962	PG says poem title: Lost in East Nassau	Transcription	
2967	3255	BM begins reading Lost in East Nassau: I never intended that a lake could be so much like a teapot. It's a poem with multiple parts.	Poem	virus, Trump, emergency
3259	3322	BM reads: Weird strange isolation end of winter days as the atlast of the world fell down. PG: pipes in throughout	Poem	isolation
3323	3331	PG: Amen! BM laughs PG: And now Bernadette Mayer! PG: turns computer camera to face her, which is shaky.	Image and transcription	
3333	3355	BM shuffles papers. Thank you, thank you everybody for everything. I'm gonna read a thank you poem. It's called poem for the Benefit of Me. 	Image and transcription	
3356	3393	BM reads Poem for the Benefit of Me from book.	Poem	money, poetry, America, capitalism
3406	3393	BM: Now don't take these poems too seriously when you're going to vote. I mean take them totally seriously! PG laughs. BM says poem title, The Dressing Gown. 	Transcription	vote
3417	3600	BM reads The Dressing Gown: From now on there will be no fun.	Poem	Trump, republican, corporation, car, Pence, shooting, race
3600	3618	BM shuffles papers, sips water. Then says, This is called Mr. Heater's Little Buddy. BM laughs.	Transcription	
3626	3733	BM reads Mr. Heater's Little Buddy with some slight audio lags: They said it was just like the sun, into the honey came the yellowjacket. 	Poem 	protest, environment
3734	3742	BM: This is called Current Events. Pandemic--Oh, I'm sorry. That's a list. Current Events. 	Transcription	pandemic
3743	3830	BM reads Current Events	Poem	policing, coronavirus, fire, 
3844	3850	BM: Uh, this is part of a collaboration with LeAnne Brown, Without Any Form.	Transcription	
3850	3896	BM reads Without Any Form, No letter, the parts of speech heal like moss, like a love letter	Poem	policing, phil, grace, coronavirus
3904		BM says poem title, This is Just to Say	Transcription	
3906	3941	BM reads This is Just to Say. Alice is home. The coffee up had coffee and water in it. (At the end of the poem there's a slight sound of PG stifling a laugh)	Poem	
3945		BM: there's no poem on this page. Then keeps shuffling papers. PG laughs a bit. 	Transcription	
3949	4045	BM says poem title, Mr. and Mrs. Dandelion and reads it, There was a sense, There was a sensation of mowing to allow the dandelions to grow.	Poem	pandemic, anger, pollution, guns, eviction
4047		BM: Oh! It was prickly pear cactus, Candy, all around. 	Transcription	correction
4059	4088	BM: This is called, I am taken about your Actual Fish. (During performance there is sound of the Venmo app in the background)	Poem and sound	catholic, sex
4093	4141	BM: I always thought it was good to get dirty and later dirty as in sex too.	Poem	sex, coronavirus, handwashing, Dickinson
4156	4160	BM: I'm gonna end here with this poem called the Lobelias of Fear.	Transcription	
4162	4223	BM reads the Lobelias of Fear, There are Maple trees, one, two, three, but wait there's five more	Poem	guns, money,
4224	4249	BM: And I'd like to thank everyone including myself, no no, haha, I'm serious. I'd like to thank everyone for helping us a generator. For your generOcity, generOcity-ness. PG: Yaaaay! BM: Thank you. 	Transcription	
4253	4289	BM and PG clap in frame. Cut to empty Zoom profile in speakerview: Thank you! BM: Oh, what happened? BM: I am... PG: She was muted though. Zoom profile Cara: Thank you so much for my name right. So few people do. And I'm such a big fan of your work Bernadette. My friend Dan Graham introduced me to your work many years ago. And for saying my name right. 	Image and transcription	
4291	4310	Cut to a couple in speaker view. Guy: Bernadette that was incredible. BM: Thank you. We can't see you we can hear you. Anne Waldman in speaker view, wearing bright yellow and clapping: Thank you Bernadette! 	Image and transcription	
4313	4324	Cut to man in front of photo of man finishing background in Speaker View. Then back to BM and PG. Bald man in room full of books: Thank you for Bernadette, Philip, Generocity!  BM nice to see you! Randomly cut back to couple in speaker view. Sound of Yaaays! Cut back to BM and PG. 	Image and transcription	
4336	4338	Cut from bald man to man with beard in extreme close-up. Lots of yays. Back to BM, Setting up the tent tonight! 	Image and transcription	
4339	4356	back to BK in speaker view, but outside with two women and a man. Now in a medium shot. BK: Thank you everyone! Can y'all hear me? Others: Yes! BK: My computer shut down about half way through that poem so I ran outside to my friends who are here. We're in Austin, Texas. It's sunset. 	Image and transcription 	place
4357	4374	Cut back to man by fishing background. BK: Um, I had a lot of stuff I needed to say, and the end of the reading. Back to BK in view. Again, thanks to Sarah La Puerta. This wouldn't be happening if Sarah hadn't met Bernadette and this vision. 	Image and transcription	
4375	4396	BK oddly crouched alone with bike in background by barn: Go check out Cuneiform Press and buy a book. Wow. Thank you so much to all the readers. It was so. I mean to hear the issues of the times, with all of you, it felt like a very nice, it felt like a warm thing, it felt like something was lifted from me or something. 	Image and transcription	Cuneiform
4400	4430	BK: Um. Cut back to BM and PG in speaker view, BM laughing happily. BK: Um thanks to Sharon Ruse and Philip Trussel who are creating these objects that will enter the archive of tonight and I think this type of thing. Geneocity. Is going to be an ongoing energy that we continue at some future moment so stay tuned in. 	Image and transcription	archive
4431	4455	BK gets very close to camera. Um, Bernadette I would like tell you goodnight and uh, thank you so much Bernadette.Cut to beareded man clapping. BM: Well you're very welcome. And thank you so much too! 	Image and transcription	
4518	4469	cut back to IB. Thank you Bradley, thank you Bernadette. BM: And you can all come over and use my generator any time! Cut back to BM and PG. Bearded man: Thank you! Laughing. PG and BM also laughing. 	Image and transcription	
4472	4513	Back to BK: I've really enjoyed being your fool for this evening, everyone. And I'll say goodnight! Multiple people say goodnight in speaker. Back to BK with people aroung him off-screen saying, Bradley that was so amazing! You did incredible. BK: Thank you. BK wanders away from computer: They can still hear us! Woman in bed: you're still there Bradley! 	Image and transcription	platform
4517	4535	BK: Sarah LaPuerta is the host now. Thank goodness. Saral LaPuerta in speaker view: Oh that's good! So wait, I have to end the meeting. I'm gonna stay here. Cut to Anne Waldman, BM, cut back to BK: There's still a lot of people here it's like we're all hanging out after the reading now. 	Image and transcription	platform
4539	4552	BK: Annabel Lee! A (woman in bed): Hi Bradley! Zoom cuts between them in speaker view. A: This is the fun part! BK: Annabel hi!!! A: Hi Bradley! BK: It's nice to see you! A: good to see you. Cuts briefly to BK and PG. 	Image and transcription	
4552	4593	SL: So if I end the meeting all you people just dissapeear. Cut to woman with bangs: So i'm going to say hello and goodnight to Sarah. It's nice to see your face for the first time in many moons. So thanks so much for inviting me and your poetry is so beautiful and filled my heart. Thank you so much Bernadette. You made my evening just fantastic and lovely. Be healthy and safe anywhere you guys are eh? 	Image and transcription	
4596	4610	Woman waves goodbye. back to PG and BM in speaker mode. PG: Thank you. BM: Too-da-loo. Bangs woman: Bye Sarah. off-screen voice: too da loo? Anne Waldman: Hi Annabel! 	Image and transcription	
4612	4652	Annabel: Nice to see you, Anne! Grandma! Cut back to BK. BK: Is that Anne Waldman there? Voice: Yeah. BK: I want to tell you I played Memorial Day 1971 for a senior in high school. I mean I'm a teacher at a very tiny school and I have a senior class of 1. A really brilliant excitable person. And I show her your work, and I show her yours too Bernadette. 	Image and transcription 	Waldman, Mayer
4654	4691	BK: Along with Hannah Wiener, and along with Lee Lozano and she gets really high on that stuff. Nice! Oh. And I played her Memorial Day 1971. And when you sang. I don't wanna hear about that anymore. She started doing htis groovy thing. And she was really feeling it. So I just wanted to tell you that the kids are really feeling it. PG: nice. AW: So how's it going in the country where you are? What are you doing? 	Transcription 	place, Wiener, Lozano
4693	4721	AW: You're getting your generator, Bernadette. BM: Yeah, we'll be able to get a generator. AW: Is it getting cold yet? BM: No it's going the other way. It's the beginning of fall but it's like 80 degrees. AW: We had a big snow storm. BM: And it's very humid too. 	Transcription	generator
4723	4768	BM: It's fucked up. Cut to young man with Monet background. Annabel in bed: Did you make an onion pie? PG: Not yet. BM: But I'm going to! A: I had a feeling you're gonna. BM: Ya, I was so impressed that susan made it and we've got the most wonderful onions. PG: Including shallots from (inaudible) farm. BM: We can't figure out what's going on there. It's a cult. PG: Don't say that! A: nooo. 	Image and transcription	
4769	4833	BM: We get our onions from a cult. BK back on screen: What kind of cult? BM: I don't know really. I'm just finding out. BK back in frame smiling. PG: Well we should go I guess. BM: Thank you so much. Sarah LP: Well, all right. PG: see ya later alligator! SLP: I'm gonna end this any you're all going to dissapear. So. BM: I'm gonna write a poem about Zoom and you're not gonna like it but i'm gonna write it anyway. BK: for the next round maybe. BM: Everytime there is a Zoom you could say this poem. SLP: 5-4-3-2-1. Many goodnights. 	Image and transcription	platform
