0:00:00	0:00:12	Two shots intoducing WPR, poet, date, and event over vinyl cracking effect	Intertitle
0:08:49	630	Off-screen male voice: Because if you can have a basis for where the number comes from and what the situation is that puts them in the situation. Officer 1: Mmmhhhmm Off-screen male voice: Are they more likely to be in this situation than someone who's not transgender? Officer 1: Mmhmm yes. Off-screen male voice: Which I don't know what that is, I'm just saying. My wife has never been part of police violence. Most of the people that I know have never been, accused the police of violence. So I guess I don't get where that's supposed to come from. Officer 1: It's a white male privilege so you wouldn't know. Off-screen voice: I'm sorry (angrily). I'm sorry?! (Repeated in voiceover) It's a white male privilege so you wouldn't know. Officer 1: I can end this right now, ok? Chief: We want to keep it safe and professiona;. That's my role and objective. So I don't want to focus on the statistics. Off-screen voice: CHIEF! Chief: Quite frankly. Off-screen voice: *interrupts* SERIOUSLY, I'M ASKING A LEGITIMATE QUESTION. And I've been taught white privilege are you serious? I find that extremely offensive. Voices overlap. Off-screen voice: In America?! I will leave. I file it on your desk. Chief: We're not talking about white privilege here. We're trying to focus on a different demographic. I'm going to keep this professional. And I apologize if anybody if offended. This data that we have here--	Transcription 
630	727	CR in Speaker view: OK, so when the white woman who told the police officer (she was also a police officer) that he couldn't understand why transgender people were targeted by the police  and she said you can't understand because of your white male privilege that woman was oput on leave and was given the position of no longer having any contact with anyone in the police force, so thats how she was to live out her time in the police force because she was a bad influence basically. And he the man who brought the charges against her for saying white male privilege, nothing ahappned to him. So that's that's the state of discourse in 2019. I don't know if things would have changed by now. But I wanted to begin with a quote from Paul Celan, he ssays, What times are these when a conversation is almost a crime? Because it includes so much made explicit. What times are these when a conversation is almost a crime? And with that I will start reading initially the openining poem from Just US. 	Cinematography + Transcription
728	769	CR reads the opening poem from Just Us: What Does It Mean to Want.	Poem
771	812	CR reads poem iii from Just Us: What if over tea, what if on our walks, what if	Poem
815	872	CR reads poem iv from Just Us: What if you are responsible to saving more than to changing? 	Poem
874	925	CR reads poem v from Just Us: What is it we want to keep conscious, to stay known, even as we; in line 2, CR substitutes "even" for each for the line "say each in our own way, I love so I know I shrink I'm asked"	Poem + Textual Deviation
927	963	CR reads poem vi from Just Us: What if what I want from you is new, newly made. First line's audio sounds slightly warped due to Wifi disruption and lag	Poem + Environment 
967	1050	CR: I am, I wanted to start, many starts. I wanted to start by looking at some passages from Thomas Jefferson which is, you know, from notes on Virginia but in Just Us it's called Notes on the State of Whiteness and I love Jefferson because of how...contradictory he is, how human he is, (laughing), how capitalist he is, How, um, you know, on the one hand, he knows to incite people is not a good thing. On the other hand, he wants to have parties, and he needs somebody to help him out with that. (laughing) So..and he wants to buy wine, and he wants to buy paintings, and he takes out a mortage and the enslaved people are part of that mortage. So he cannot, he cannot free them. But it doesnt mean he doesn't know. It doesn't mean he doesn't know. So, I wanted to so I wanted to begin with the section, Their griefs are transient. 	Transcription
1051	1051	CR begins share screen of notes on the state of whiteness. The copy is a scan from Just Us that looks like a worn book, beginning on page 115 with the line: Their griefs are transient 	Cinematography
1055	1080	CR: You obviously know this is an erasure but I don't really see it as an erasure so much but as a document recreated to bring forward places in the text that might, um, be lost, um, by the words around them. 	Transcription
1081	1085	CR begins reading notes on the state of whiteness from page 115 in Just Us: Their griefs are transient 	Poem
1085	1133	And before I go on. I don't know how many of you watched the trials but the thing that struck me most was the number of ways in which different witnesses said you know it's too much, all of this is too much. And I try to stay in my body, or it's too much and it's upsetting to see somebody die. You know the defense is trying to claim that people are not capable of assessing what the police was doing because they were angry. And they're like, no, it's just upsetting to watch somebody be killed, be murdered.	Transcription
1135	1180	CR begins reading notes on the state of whiteness from page 115 in Just Us: Their griefs are transient 	Poem
1181	1247	After the line, In memory they are equal to whites in reason inferior, CR states: And and I feel like these thoughts by Jefferson are thoughts that the defense actually continued to make in the trial by insisting that people don't know what they see. So I have um, one of the things I did in this book is not everything is written but everything is forced in one way or another to meet the lyric. And so one of the poems in the book which I'll read is by James Baldwin from the White Man's Guilt but it wasn't it is not a poem but it was lineated by me into the lyric form. 	Transcription
1248	1349	CR reads: from James Baldwin's The White Man's Guilt, page 68 in Just Us	Poem
1350	1542	CR: And I'm going to stop sharing now, but one of things that has happened this week since it's only been two days since Chauvin was convicted is that I feel like many people and many of them white people want to put everything to rest with a decision that is, somebody called it an exception to the exception (CR laughs) and it's good that it happened but it has nothing to do with the system at large. We had a judge that claimed that Maxine Waters by calling for a response if justice wasn't served, um that would give the defense the ability to appeal, which they no doubt will appeal. And so, we can be pleased that something that should have been ordinary happened, but we can't be deluded into thinking that the system itself has been fixed by a single moment, a single exception. I just wanted to say that because it is. The piece that began Just Us was an essay written for The New York Times on talking to white men about white privilege. And, you know, I don't know why I started that but I, I thought it would be interesting to know what they were thinking since they control so much of my life. You know, the president of the college where I teach is a white man. There are white men who solicit me at the New York Times to work, all of them good people, I'm not saying anything against them personally, but, um, they are in some way in charge of my life. if we look to see who's in positions of power across the board, many of them are white men. So I t ought why not ask them about what they are thinking about all that they have. And so that's how I got myself into this essay, but I wanted to read just the section on the final conversation I had. 	Transcription
1375	1963	CR reads essay excerpt beginning on page 49 to page 53 of Just Us [Add hypothesis annotations of Springsteen + Commodore songs mentioned]: Not long after this I was on another flight and sitting next to a white man who felt as if he could already be a friend...	Essay excerpt 
1965	2049	That response that he gave me. I mean the part of it that I find the most moving actually is when he said, "I realize that I had misrepresented something I said to you about my hometown. I don't know why. I certainly hadn't done it intentionally and I realized I thought I was being honest in the moment." And so this, the way in which our white supremacist foundational orientation, acculturation, whatever you want it to call it, doesn't allow white people to understand even why they do the things they do, to shield themselves from their own fantasies in order not to have to apprehend the realities in front of them is something that continutes to interest me in a way, and sort of was the driving force in just us. I am going to end by reading a page from the end of the book. (Sound of pages turning)	Transcription
2050	2391	CR reads the prose poem beginning on page 329 in Just Us: Fantasies cost lives. Ending on the line: What would white people have to graft onto their fantasies so they can treat as real the possibility of true change? True equality? Then skipping sections on the voter demographics by race of the 2008 election. To read on page 331: Reimagining agency is the conversation I want to have. Concluding the reading, CR skips from, There is no beyond of citizenship, to another sentence on the final page 335: Our lives could enact a love of close readings of who we each are, the love of a newly formed, newly conceived "one" made up of obscure but sensed and unnamed publics...and reads to the end of the last page. CR: Thank you. 	Poem
2396	2501	Switch to gallery view for audible applause, many who had their cameras off turn them on as the page fills with faces.	Cinematography + Environment
2407	2501	CR: I love the automated clap. CD: It is not automated it is from the archive. CR: Laughs. CD: It is from a previous recording of applause from a previous event you did for us, Claudia. CR: Laughs. Oh, that's perfect. CD: So, listen everyone please unmute your mics and join me in thanking Claudia and sharing your love and gratitude and we will not be having a Q & A tonight or and I love that line or any strucutre that constricts possibility but we'd love to hear how her words resonate with you. So please unmute your mics and say hello. Audience: Many many many many thank yous overlapping, incredible, so glad I got to be here. HLG: I'm sorry we can't take you for dinner at Benedetto's. CD: Laughs, I'm here! HLG: I would pick the wine. So same time next year?	Transcription
2501	2506	In speaker view, CD: So we usually close our Zoom events by having our author choose an outro tune. (Sound of unmuted mic making a high pitched noise) Maybe we could mute the mini mouse?  HLG: I would like The Commodores. CD: We can choose that second, but do you want to tell us why you chose what you chose? 	Cinematography + Transcription
2516	2533	CR: Well, I chose Leonard Cohen because actually, Skip, you'll recognize it...it was the final song in White Card; HLG in speaker View: Yes, I do. In speaker view: High pitched noise from unmuted mic, puts older unknown woman in speaker view briefly. CR in speaker view: And, it's about conversation which I think maps onto Just Us in a nice way. 	Cinematogaphy + Transcription 
2536	2544	CD: We invited every to groove to it to listen and then sign off at any point in the song. Thank you all for coming. 	Cinematography + Transcription
2546	2561	Cut to photo of Leonard Cohen and a caption that reads: Outro / Claudia Rankine selected Leonard Cohen's Different Sides / Due to copyright restrictions the the music has been removed from the footage / Back to gallery view as caption remains signifying music is playing. END RECORDING	Transcription 
