time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer	Index
1030	1051	CA begins share screen in speaker mode. There is an image of the book cover for Amanda Paradise: Resurrect Extinct Vibration. The cover looks like Wave Books publication, simple cream-colored cover with an all caps font and stars under the title. They are on the right side of the screen and their image is about a third the size of the shared screen. They scroll down and change the scale of the view to be a bit more distant for the poems. And then scroll back up to the cover.	Image	
1041	1051	CA: Amanda Paradise...I also wanted to thank everybody at Wave Books for taking such beautiful care of my poems. 	Transcription	Wave
1059		Screen share of first poem in Amanda Paradise. It is called, ONLY IN STACKING BOOKS CAN THE TREE FEEL ITS WEIGHT AGAIN. It is a concrete poem with an assymetrical and bent alignment. It curves in and out a number of times with the last line ending more left aligned than the first. And a good deal of variation in line length. CA remains on screen during the share.	Image	
1059	1151	CA reads ONLY IN STACKING BOOKS CAN THE TREE FEEL ITS WEIGHT AGAIN	Poem	jingoism, sex, love, EricaKaufman
1153	1169	CA: This is a good moment to just briefly mention that one of things that I confronted about myself when doing this ritual was my guilt at enjoying doing the ritual with all these recordings of extinct animals 	Transcription	
1169	1178	CA: And that guilt braided with my guilt of...so many friends and lovers who died of AIDS and they just appear over and over again in this book	Transcription	
1179	1182	CA scrolls down the manuscript in their share screen to the next poem, another very curved shape poem: ACCLIMATING TO THE DISCOMFORT OF THE SYSTEM BREAKING BENEATH US	Image	
1183	1271	CA reads ACCLIMATING TO THE DISCOMFORT OF THE SYSTEM BREAKING BENEATH US. They rock back and forth and use numerous hand gestures while reading.	Poem and Image	
1272	1275	CA scrolls down the manuscript in their share screen to the next poem, MEMORIES OF WHY I STOPPED BEING A MAN, for Jason Dodge. This poem's shape begins with a far right alignment curving like a helix to the center of the page. 	Image	
1276	1287	CA: I wanted to say I'm really prou--I'm really excited about this. Angela Connit who is this really brilliant art curator in New York City working with the Elizabeth foundation for art 	Transcription	
1287	1304	CA:invited me to be part of the Boy Box show at their gallery just a couple months ago. And she asked me how I wanted to participate and I said I wanted one of my poems to be in the show. So because of the content of the show, its about toxic masculinity	Transcription	masculinity
1304	1325	CA: and that is exactly what this poem is dedicated to, she brilliantly printed this poem on six feet of chiffon and had it dangling from the ceiling. It was absolutely amazing! My love to Angela Connit. And I dedicate this poem to my favorite living visual artist Jason Dodge who is just extraordinary! 	Transcription	
1329	1412	CA reads MEMORIES OF WHY I STOPPED BEING A MAN	Poem	masculinity
1413		CA scrolls down to another poem ON ALL FOURS I AM A SEAT FOR THE WIND. The shape of the poem vaguely resembles Texas.	image	
1416	1436	CA: This looks I know I know the shape of this poem looks like Texas and that's why I'm reading it. Texas needs poetry right now. CA takes a big sip from a white water bottle...For all of my friends in Texas dealing with the fascists down there in the government. 	Transcription + image	Texas, politics
1438	1518	CA reads ON ALL FOURS I AM A SEAT FOR THE WIND 	Poem	
1519	1520	CA: I mean I don't think minks meow but	Transcription	
1522	1533	CA scrolls through the manuscript to a poem titled 72 CORONA TRANSMUTATIONS and says: So I think I'm gonna end this portion of the reading and then I'm gonna just end with some new poems. So the book ends with this long 72 part poem in the back. 	Transcription + image	
1534	1550	CA: I'm just going to read a handful of these. And This is one I really--this was under lock down in the beginning most of the nook was not written under lock down but this last poem in the book was. Let me enlarge that a little bit. Why not right? Here let's make it a little bigger. How's that? CA enlarges poem text a few times, which becomes more legible at 125% or so. 	Transcription + image	Platform
1554	1545	CA: Yeah, I mean lockdown was just like AIDS all over again to some degree. 	Transcription	AIDS, COVID
1546	1575	CA reads the first of the series of poems 72 CORONA TRANSMUTATIONS 	Poem	AIDS
1579	1615	CA reads the second of 72 CORONA TRANSMUTATIONS, my grandmother Pearl said...	Poem	AIDS
1620	1649	CA scrolls to and reads 3 of 72 CORONA TRANSMUTATIONS 	Poem	AIDS, EdvardMunch, SpanishFlu
1653	1683	CA scrolls to and reads 4 of 72 CORONA TRANSMUTATIONS	Poem	ecopoetry
1690	1725	CA scrolls to and reads 5 of 72 CORONA TRANSMUTATIONS	Poem	migration, concretepoetry
1730	1746	CA: I'm gonna finish with just reading a handful of new poems, but let me just put this over in the chat for you. That's hwo you can find. The IG...the instagram link is where you can see most of the new poems	Transcription	platform, instragram
1748	1772	CA: Ok, lemme finish this. And I'm very excited to hear Diane and I just love everything Ariana said about Christina Davis as well. I love Christina. I'm very happy. I'm going to make that a tiny bit smaller *CA downsizes screen share image to 100 percent view so that its bottom is just at the bottom of the screen* There we go!	Transcription	ArianaReines, ChristinaDavis
1773	1788	CA:  I like that. That's better.  want it to stand on... It's like a little creature standing up. We'll put it down at the bottom. *Claps hands* I'm not even going to tell you the name of this new series. Because I don't like it anymore. I'm just gonna read the poems.	Transcription	concretepoetry
1789	1820	CA reads "Our / little / places / within / are not / dungeons," shaking their head, and gestures with their hands pointing up in line with the poem's themes of inverse directions	Image and Poem	astronomy, military
1821	1836	CA: I, you know, am about to leave. I teach in the fall every fall. This is my twelth year teaching in Amsterdam. People in Europe do not understand how dualistic we are.	Transcription	Europe, America
1837	1853	CA: We can't even have three political parties. It's christianity rules here. It's like the devil and god rule everything. We can't even have a third party. They won't allow us. We can't even have a third gender. Well we will anyway. We don't really care what they wanna do.	Transcription	politcs, christianity, gender 
1854	1885	CA reads "A storm of / handwriting"	Poem	concretepoetry
1891	1921	CA reads "not nostalgic / for 80s music"	Poem	AIDS, Christianity
1895		CA comments: I hate 80s music	Transcription	music
1923	1925	CA: Take that Jesus!	Transcription	Christianity
1927	1968	CA reads "what was / the point / of today"	Poem	elegy, religion, LGBTQ
1969	1972	On the line, this is my four leaf clover, CA says: That was a song from the 80s from Tears for Fears	Transcription	music
1973	1992	CA reads: "swallowed / each other"	Poem	LGBTQ
1993	1998	CA after last line of poem: Why not?...Just a few more.	Transcription	
2002	2023	CA reads: "losing / something / too important"	Poem	
2028	2034	CA: This is the reason I'm writing these new poems. The opening of this poem. To fall in love with the world again. 		
2038	2057	CA reads: "To / desire / the world"	Poem	
2060	2091	CA repeats first line and reads: "Study how / house is/ attached"	Poem	miltiary, sixties
2092	2095	CA: this is the last one. Thank you so much.	Transcription	
2096	2127	CA reads "do not live as / though you are / a footnote"	Poem	America
2128	2132	CA closes share screen and in speaker view blows a kiss and says Thank you so much	Image and transcription 	
2133	2143	Sound of clapping and gallery view of 16 to 20 people many of whom are not clapping	Image	
2146		Diane Seuss in speaker view. The room behind her is very dark with some blue fairy lights and one or two lamps. She is a white woman with bangs, black hair, pink lipstick, and thick eyeliner. As she reads, she 	Image	
2146	2161	DS: Well that was jsut simply glorious CA. I feel really honored to share screen with you and air. Let's make poems that can rob a bank. *Off-screen laughter*	Transcription	
2164	2192	DS: I wanna thank everybody involved in making this night happen. Christina Davis, Mary Gaham, Jeffrey Vlade, who has family where I live, and of course Ariana for that lvoely introduction and of course you CA Conrad and everybody at the Woodberry Poetry Room, ah, ok...	Transcription	Davis, Graham, Conrad
2197	2206	DS: So I'm going to read all sonnets from my newest book, Frank Sonnets. 	Transcription	sonnet
2208	2297	DS: "Poetry the only father, landscape..."	Poem	poetry, childhood, sexuality, embodiment
2300	2393	DS reads: Who wants to be soft? after the line "even my sister," DS says: who is here tonight	Poem and Note	childhood, whitford, christianity
2395	2402	DS: This is from my hometown my...the musci I hear from it 	Transcription	
2406	2481	DS reads "One's got an eye thing..."	Poem	childhood, embodiment, disability
2492	2596	DS reads: The white rabbit was before the hi-rise	Poem	adolescence
2610	2707	DS reads I have slept in many places  	Poem	place
2718	2815	DS reads: I fell on an incline...	Poem	embodiment, pain, place, parenthood, birth
2825	2905	DS reads: There is a force that breaks the body	Poem	rhyme, pain, suffering, Donne, blues
2913	2935	DS: I mentioned sleeping with Michel by TV light way back when in an alleyway and going out to see him before he died in the mid-eighties of AIDS and this is about him.	Transcription	AIDS
2937	3061	DS reads I want to zero-in on what he looked like 	Poem	Chinatown, JackNicholson, NeilYoung, death
3067		DS: This is him too	Transcription	
3070	3157	DS reads He said it bummed him out his dick didn't work anymore	Poem	SF, drag, charisma, death
3167	3251	DS reads You know what living means? Tits out	Poem	aging
3259	3275	DS: How about one more? And I'll dedicate this to everyone in the poetry room who helped and to CA. 	Transcription	
3278	3141	DS reads: My private parts are many	Poem	
3143	3398	DS: Thank you. Switch to gallery view in which many people applaud, but superimposed OVER speaker view image of DS	Transcription and Image	
3400	3409	Switch from speaker view of DS to speaker view of CD. CD: Thank you so much everyone please feel free to unmute your mics and give your thanks to our two guests and thank them. Unmute thyseves and thank them.	Transcription and image	
3400	3430	Gallery view and a cacophone of thank yous, that was amazaing, brilliant etc. 	Transcription and Image	
3430	3446	CD: We are going to turn pretty soon to the outro tune that our DJ Diane chose tonight. We would ordinarily choose just George Michael songs, but since CA DS: That would've been a good choice. CD: Tears for Fears all the way (triangulates between speaker view of CA, CD, and DS)	Transcription and Image	
3446	3453	CD: But Diane do you want to speak for a moment about why you chose the song you chose. They don't know yet. 	Transcription	
3460	3484	Cut to speaker view of DS. But with an audience member in speaker view briefly due to mic on, nodding in agreement. DS: yeah so this song ccarries the perfurme of the time I didn't read about it. when I lived in NY on the lower east side of Manhattan when i was young and in a lot of trouble and the velvet underground were around. And I would see members especially Lou Reed at CBGB.	Transcription and Image	
3486	3518	DS: But it also carried a kind of sadness. This singer Nico and her story, which look it up if you don't know quite interesting, so it holds you know the memory of that place and this idea of the femme fatale which I htink comes up in my work and in CA's work 	Transcription	
3518		Audience members pops into view briefly. The Velvet Underground's Femme Fatale begins playing 	Image and Environment	
3520	3530	cut to gallery view from speaker view, CD: I think we're gonna move into the music and then you can stick around just groove to it sign off and we'll end the night	Image and Transcription	
2154	3540	Intertitle explaining song has been removed for copyright and that Diane Seuss chose Femme Fatale by the Velvet Underground (Sceptre, 1966)	Image	
3541	3544	Intertitle states that: we've selected excerpts from the chat to reflect the interactive nature of the event 	Image	
3549	3610	Sound of film camera rolling over Transcript of many messages in chat from individuals like Seuss's son: Hello from Houghton Michigan, Hi Mom! And others by name. Then demarcated by reader for CA Conrad and Diane Seuss respectively including lines everyone liked, "CD: Let's make poems that can rob a bank" and other praise, Thrilling, for Diane Seuss many remarks on the sonnet form, Love these poems, Thank you, gorgeous reading, etc, 	Image	
